LISTA DE OFICIOS MENSUALES;;
JULIO;;
SACAR BASURA;;
FECHAS;CÓDIGO;
9/07/2022;31;35
12/07/2022;9;10
16/07/2022;11;13
19/07/2022;14;15
23/07/2022;17;18
25/07/2022;20;21
30/07/2022;22;26
;;
;;
;;
;;
;;
;;
LIMPIEZA DE COMEDOR;;
FECHAS;CÓDIGO;
;;
;;
REALIZACIÓN DE CENA;;
FECHAS;CÓDIGO;
10/07/2022;21;22
17/07/2022;26;30
24/07/2022;31;35
31/07/2022;9;10
;;
LIMPIEZA JARDÍN;;
FECHAS;CÓDIGO;
;;
;;
;;
;;
LIMPIEZA BICICLETERO;;
FECHAS;CÓDIGO;
;;
;;
LAVADO DE  PATIO;;
FECHAS;CÓDIGO;
;;
;;
;;
;;
LIMPIEZA DE BAÑOS;;
FECHAS;CÓDIGO;
10/07/2022;10;11
17/07/2022;13;14
24/07/2022;15;17
31/07/2022;18;20
